s02:08,00:08,01:99,00:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:08,02:08,03:99,00:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s03:08,04:08,05:99,00:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:08,06:08,07:99,00:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s04:08,08:08,09:99,00:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s03:08,10:08,11:99,00:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:09,00:09,01:99,00:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s02:09,02:09,03:99,00:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s03:09,04:09,05:99,00:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s04:09,06:09,07:99,00:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s02:09,08:09,09:99,00:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s05:09,10:09,11:99,00:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:10,00:10,01:10,02:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:10,03:10,04:10,05:10,06:99,00:99,00:99,00:99,00:99,00:99,00
s02:10,07:10,08:10,09:10,10:10,11:10,08:10,10:10,09:10,10:10,11
s01:11,00:11,00:11,01:11,02:11,03:11,03:11,04:11,05:11,02:11,04
s01:11,06:11,07:11,06:11,08:11,06:11,09:11,06:11,10:11,06:11,11
s01:12,00:12,01:12,02:12,03:12,04:12,01:12,03:12,05:12,00:12,03
s01:12,06:12,07:12,08:12,09:12,10:12,11:13,00:13,01:12,07:12,11
s01:13,02:13,03:13,02:13,02:13,03:13,02:13,03:13,03:13,02:13,03
s01:13,04:13,05:13,06:13,07:13,07:13,04:99,00:99,00:99,00:99,00
s01:13,08:13,09:13,10:13,11:99,00:99,00:99,00:99,00:99,00:99,00
s01:14,00:14,01:14,02:14,03:99,00:99,00:99,00:99,00:99,00:99,00
s01:14,04:14,05:99,00:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:14,06:14,07:14,08:14,09:14,10:14,11:99,00:99,00:99,00:99,00
