s01:04,01:04,02:04,03:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:04,05:04,06:99,00:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:04,10:04,11:99,00:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:05,09:05,10:05,11:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:10,00:10,01:10,02:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:10,03:10,04:10,05:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:11,00:11,01:11,02:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:11,03:11,04:11,05:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:11,06:11,07:11,08:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:11,09:11,10:11,11:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:13,00:13,01:13,02:13,03:13,04:13,05:13,06:13,07:99,00:99,00
s01:13,08:13,09:13,10:13,11:14,00:14,01:14,02:14,03:99,00:99,00
s01:14,04:14,05:14,06:14,07:14,08:14,09:14,10:14,11:99,00:99,00
