0 corn
0 corn
0 corn
0 corn
0 berry
0 berry
0 berry
0 tiny stump
0 pebble
0 pebble
0 ????
0 pebble
0 apple tree
0 chimeny
0 apple
0 squash
0 apple
0 nut
0 daffodils
0 chimeny
0 twig
0 chimeny
0 mortar & pestle
0 buttercups
0 shitty mushroom
0 ???
0 hog testicle
0 tiny bird
0 ??
0 rope
0 big tree
0 hay
0 lousy vane
0 purple roses
0 pepper
0 big tree
0 plant
0 toadstool
0 hay
0 bush
0 chimeny
0 two by four
0 peach
0 mushroom
0 vane
0 potato
0 tiny melon
0 duck
EOP
4 tomato bush
4 pumpkin
0 post
4 grave
4 milk can
4 shovel
0 bird house on pole
0 salt lick
0 ?
0 purple loose strife (weed)
0 flagpole
4 feed
4 feed
0 ?
0 weed
0 weed
5 scarecrow
0 cow head
0 wheat
0 wheat
0 wheat
4 mailbox
0 bucket
0 ???
0 bird feeder
0 chimeny
0 barley
0 pot plant
0 barley
0 barley
0 pail
0 ??
4 mailbox
4 mailbox
4 mailbox
4 railbox
0 cowpie
0 weed
0 robin
4 feed
0 weed
EOP
5 big poplar
4 big tree with thin trunk
4 big tree with thin trunk
5 big tree
0 grass
5 big round tree
0 ???
4 square post
5 willow
4 chocolate stump
4 bush
0 ?
0 robin
0 yellow caramel corn
0 pebble
0 ??
0 tiny bird
EOF

0 none                         5 slide
1 weak jump                    6 big slide
2 jump                         7 stop no bounce
3 big jump                     8 stop & bounce
4 subtle slide

