s01:01,00:01,01:01,02:01,03:01,04:01,05:01,06:01,07:01,08:01,09
s02:01,10:01,11:02,00:02,01:02,02:02,03:02,04:02,05:02,06:02,07
s01:02,10:02,11:03,00:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:03,08:03,09:99,00:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s02:04,03:04,04:04,05:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:04,11:05,00:05,01:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:06,00:06,01:06,02:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:06,03:06,04:06,05:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:07,10:07,11:99,00:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:09,05:09,06:09,07:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:11,10:11,11:12,00:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:12,04:12,05:12,06:12,07:12,08:12,09:99,00:99,00:99,00:99,00
s02:14,00:14,01:14,02:14,03:14,04:14,05:99,00:99,00:99,00:99,00
s01:14,06:14,07:14,08:99,00:99,00:99,00:99,00:99,00:99,00:99,00
s01:14,09:14,10:14,11:99,00:99,00:99,00:99,00:99,00:99,00:99,00
